image,conf,area,aspect_ratio,extent,solidity,circularity,compactness,rectangularity,eccentricity,vertex_count,bbox_w,bbox_h,best_iou_drone,best_iou_bird,label_bird_fp,label_true_drone,label_other_fp
BT (10).jpg,0.6941297650337219,25367.5,0.8801652892561983,0.4921332402126256,0.6786927789817268,0.378115398525002,0.03008946736720797,0.4921332402126256,0.8215385937923573,9.0,213.0,242.0,0.0,0.8079108678242687,1,0,0
BT (100).jpg,0.6175497770309448,72210.0,0.8591065292096219,0.9925773195876288,1.0,0.780853726634973,0.062138365212841704,0.9925773195876288,0.0,4.0,250.0,291.0,0.5672761445743598,0.0,0,1,0
BT (101).jpg,0.5812091827392578,92391.0,1.0333333333333334,0.9934516129032258,1.0,0.7851857006844447,0.06248309275450135,0.9934516129032258,0.0,4.0,310.0,300.0,0.8605559854326164,0.0,0,1,0
BT (102).jpg,0.656518816947937,107876.0,1.214046822742475,0.9939099109059584,1.0,0.7780129685460343,0.06191230486685029,0.9939099109059584,0.0,4.0,363.0,299.0,0.8316496427695269,0.0,0,1,0
BT (103).jpg,0.6401891112327576,93906.0,1.1802120141342756,0.993482998666977,1.0,0.7799970909590935,0.06207019631171918,0.993482998666977,0.0,4.0,334.0,283.0,0.8789003993322712,0.0,0,1,0
BT (104).jpg,0.6206456422805786,90090.0,1.1010452961672474,0.9933621488113615,1.0,0.7835694866899717,0.062354478531344,0.9933621488113615,0.0,4.0,316.0,287.0,0.842727901931297,0.0,0,1,0
BT (105).jpg,0.6396014094352722,90174.0,1.2734082397003745,0.9933245208195638,1.0,0.7739634613613988,0.06159005532408984,0.9933245208195638,0.0,4.0,340.0,267.0,0.8379879833119831,0.0,0,1,0
BT (106).jpg,0.7031714916229248,84816.0,1.3775100401606426,0.993080192490077,1.0,0.7654620008815625,0.060913530594656665,0.993080192490077,0.0,4.0,343.0,249.0,0.9435470572984379,0.0,0,1,0
BT (107).jpg,0.4885600209236145,81263.0,1.3306451612903225,0.9929496578690127,1.0,0.7694807454688324,0.061233332127700574,0.9929496578690127,0.0,4.0,330.0,248.0,0.9399713462486546,0.0,0,1,0
BT (108).jpg,0.6293601393699646,74422.0,1.1529411764705881,0.9926904094971322,1.0,0.7814056678290412,0.062182287297507716,0.9926904094971322,0.0,4.0,294.0,255.0,0.746717218605703,0.0,0,1,0
BT (109).jpg,0.7095707058906555,102564.0,1.6126482213438735,0.9936061381074168,1.0,0.7419488969648305,0.05904241723676602,0.9936061381074168,0.0,4.0,408.0,253.0,0.8686602073696343,0.0,0,1,0
BT (11).jpg,0.7971941232681274,19813.0,0.5801886792452831,0.7598174566651327,0.95891007646888,0.6898566964193639,0.05489705163009324,0.7598174566651327,0.8438365340162184,7.0,123.0,212.0,0.0,0.5445793086228052,1,0,0
